"cell_type","coeff","se","LR","pval","fdr"
"Microglia",-1.88941350994602,0.328380839640595,9.96080515081511,0.00159908106527292,0.0111935674569104
"EN",0.748204966038689,0.0825211263249201,5.45139388368253,0.0195527201637683,0.0456230137154593
"IN",0.506554033485629,0.0335755420412922,6.03297589587277,0.0140410416257618,0.0456230137154593
"Endothelial",-1.05588977760677,0.260974754921883,4.09213137801407,0.0430832809582528,0.0645072845404028
"Oligodendrocytes",-0.995836025576295,0.218633518340931,3.97879071497897,0.0460766318145734,0.0645072845404028
"OL-Progenitor",-0.137935139462365,0.0484459666651808,0.390854581952681,0.531850538983506,0.620492295480757
"Astrocytes",-0.0549370732145281,0.0299246721066584,0.101167857512763,0.750432635149229,0.750432635149229
